epoch,trn_loss,val_loss,trn_logloss,val_logloss,lr
1,0.2708591175913811,0.14560034097749977,0.3092806209114438,0.019655430620374503,0.0002
2,0.23806218663454057,0.13312632298167748,0.3030872043492675,0.023159087124946166,0.00019749279121818235
3,0.22558381447792053,0.1408069101692755,0.275226227791813,0.0287807428399851,0.0001900968867902419
4,0.21934705832004547,0.13312968045850343,0.2599991205985047,0.02637253769674131,0.000178183148246803
5,0.22515846433639528,0.12960119818962074,0.2497995335423313,0.021762218310033207,0.00016234898018587337
6,0.21943447724580764,0.128248909417587,0.23732130267476537,0.02233369085172211,0.00014338837391175582
7,0.21112106364965438,0.12936239019979404,0.25819409375475527,0.02142634801110251,0.00012225209339563145
8,0.2173646233201027,0.12747073069780687,0.24316499680746,0.02266389427958255,0.0001
9,0.21425256007909774,0.13044149485192721,0.2572471852767205,0.020712173755282323,7.774790660436858e-05
10,0.21825993473529814,0.12831136376797397,0.25975839307696447,0.019020817444928714,5.6611626088244194e-05
11,0.21087932790517808,0.12757555282191385,0.212234236967223,0.020469778588764462,3.7651019814126654e-05
12,0.21398685227632522,0.125504930656922,0.25946697252168177,0.019918290498603643,2.181685175319702e-05
13,0.21082214268445967,0.1260319258781928,0.223593811366787,0.018629068879452884,9.903113209758096e-06
14,0.20213786418437957,0.12612483244908007,0.2257328895811541,0.01901037611392226,2.5072087818176382e-06
15,0.2015052188396454,0.1262306581381001,0.24288713732309153,0.019048544932604532,1e-06
